scientis,scientist
inventr,inventor
discover,discovery
experimnt,experiment
theori,theory
hypothes,hypothesis
evidenc,evidence
dat,data
analys,analysis
research,research
stud,study
learn,learn
teach,teach
school,school
universit,university
colleg,college
student,student
teacher,teacher
professr,professor
class,class
lesson,lesson
exam,exam
test,test
grad,grade
diplom,diploma
certificat,certificate
degre,degree
majr,major
minr,minor
cours,course
subject,subject
math,math
scienc,science
histor,history
geograph,geography
languag,language
literatur,literature
art,art
music,music
sport,sport
physic,physics
chemist,chemistry
biolog,biology
econom,economics
psycholog,psychology
sociolog,sociology
philosoph,philosophy
religio,religion
polit,politics
law,law
medicin,medicine
engineer,engineering
architectur,architecture
design,design
fashion,fashion
cuisin,cuisine
cook,cook
bak,bake
recip,recipe
ingredint,ingredient
nutritn,nutrition
diet,diet
exercis,exercise
yoga,yoga
meditatn,meditation
relaxatn,relaxation
stress,stress
anxi,anxiety
depressn,depression
therap,therapy
counsel,counseling
doctor,doctor
nurs,nurse
hospit,hospital
clinic,clinic
pharmac,pharmacy
medicn,medicine
prescrib,prescribe
diagnos,diagnose
treatmnt,treatment
surger,surgery
vaccin,vaccine
immun,immunity
virus,virus
bacteri,bacteria
infectn,infection
diseas,disease
illnes,illness
symptom,symptom
fever,fever
cough,cough
headach,headache
pain,pain
injur,injury
fractur,fracture
burn,burn
cut,cut
bleed,bleeding
bandag,bandage
firstaid,first aid
emergenc,emergency
ambulanc,ambulance
firefight,firefighter
polic,policeman
crim,crime
thef,theft
accident,accident
disast,disaster
earthquak,earthquake
flood,flood
hurrican,hurricane
tornad,tornado
volcan,volcano
wildfir,wildfire
tsunami,tsunami
droug,drought
famin,famine
povert,poverty
homeles,homeless
refuge,refugee
migrat,migration
immigrat,immigrant
citizen,citizen
governmt,government
presidnt,president
primeministr,prime minister
parliamt,parliament
electn,election
vot,vote
democrac,democracy
dictatorsh,dictatorship
freedom,freedom
right,right
duty,duty
responsibilit,responsibility
justic,justice
equality,equality
peace,peace
war,war
conflic,conflict
negotiat,negotiation
treat, treaty
allianc,alliance
enem,enemies
victor,victory
defeat,defeat
battl,battle
soldir,soldier
weapon,weapon
bomb,bomb
gun,gun
knife,knife
sword,sword
shield,shield
armor,armor
castl,castle
fortres,fortress
palac,palace
church,church
templ,temple
mosqu,mosque
synagogu,synagogue
cemeter,cemetery
grave,grave
funerl,funeral
wedding,wedding
birthda,birthday
christma,christmas
easter,easter
hallowe,halloween
thanksgivn,thanksgiving
newyear,new year
valentin,valentine
motherday,mother day
fatherday,father day
independenceda,independence day
labor day,labor day
memorial day,memorial day
veterans day,veterans day
martin luther king day,martin luther king day
presidents day,presidents day
columbus day,columbus day
thanksgiving,thanksgiving
black friday,black friday
cyber monday,cyber monday
boxing day,boxing day
april fools day,april fools day
earth day,earth day
world health day,world health day
international womens day,international womens day
world environment day,world environment day
world water day,world water day
world food day,world food day
world teachers day,world teachers day
world peace day,world peace day
human rights day,human rights day
christmas,christmas
new year,new year
easter,easter
halloween,halloween
thanksgiving,thanksgiving
valentine,valentine
mother day,mother day
father day,father day
independence day,independence day
labor day,labor day
memorial day,memorial day
veterans day,veterans day
martin luther king day,martin luther king day
presidents day,presidents day
columbus day,columbus day
thanksgiving,thanksgiving
black friday,black friday
cyber monday,cyber monday
boxing day,boxing day
april fools day,april fools day
earth day,earth day
world health day,world health day
international womens day,international womens day
world environment day,world environment day
world water day,world water day
world food day,world food day
world teachers day,world teachers day
world peace day,world peace day
human rights day,human rights day
"Show products like samsung galaxy phones on sale","Show products like samsung galaxy phones on sale"
